,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_frac,max_voltage,min_frac,min_instability,min_voltage,nsteps,numsites
168,3.29389415,135.4855476,452.9505998,446.2750527,1491.971331,0.125,3.29389415,0.0,0.063307518,3.29389415,1,7
169,3.542841814,80.94064671,277.0543292,286.7599076,981.5596623,0.074626866,3.66058391,0.0,0.039975327,3.51340629,2,31
170,3.30863993,189.2670813,810.7074621,626.2166225,2682.339081,0.25,3.628776305,0.1,0.059156406,2.988503555,2,6
171,4.267533612,111.7358091,335.4207223,476.836321,1431.419207,0.105263158,4.267533612,0.0,-3.55e-15,4.267533612,1,17
172,4.123668202,144.6098835,680.5085435,596.3231783,2806.191442,0.142857143,4.123668202,0.0,0.053413291,4.123668202,1,12
173,3.30119277,141.950311,644.0185363,468.6053402,2126.029336,0.25,3.30119277,0.142857143,0.017173954,3.30119277,1,6
174,3.90668081,86.41377387,251.9278356,337.5910321,984.201641,0.137931034,3.90668081,0.074074074,0.039075323,3.90668081,1,25
175,1.941104955,36.14232405,223.4736188,70.1560443,433.7857488,0.071428571,1.941104955,0.0,0.004769721,1.941104955,1,13
176,1.86056678,51.5831903,205.6712247,95.97397027,382.6650483,0.052631579,1.86056678,0.0,0.034103174,1.86056678,1,18
177,3.286631738,180.5990527,560.7260871,593.5625786,1842.900154,0.155172414,3.286631738,0.0,0.026194778,3.286631738,1,7
178,3.165747595,141.9412108,442.5026856,449.3500466,1400.851813,0.125,3.165747595,0.0,0.0,3.165747595,1,7
179,3.103616853,141.9412108,440.462549,440.5311338,1367.02699,0.125,3.103616853,0.0,0.009290761,3.103616853,1,7
180,3.097801895,60.70016597,176.657656,188.0370892,547.2504215,0.055555556,3.097801895,0.0,0.031321223,3.097801895,1,17
181,3.25681146,60.70016597,194.3766707,197.6889962,633.0481687,0.055555556,3.25681146,0.0,0.043340737,3.25681146,1,17
182,3.525748335,73.9214815,234.9349825,260.6285403,828.3216234,0.071428571,3.525748335,0.0,0.046366296,3.525748335,1,13
183,4.358021665,73.9214815,245.3400128,322.1514179,1069.197091,0.071428571,4.358021665,0.0,0.036096914,4.358021665,1,13
